NAME,BOARD,TYPE,NAME_AB,ADDRESS_AB,CITY,PROVINCE,GRADES,POSTSECOND,DATA_SOURCE,PROVINCIAL_CODE_NUM,ECS,ELEM,JUNIOR_H,SENIOR_H,PROCESS_DT,POSTAL_COD,STRUCTURE_ID,longitude,latitude,location
St. Augustine,Calgary Roman Catholic Separate School District No. 1,Separate School,St. Augustine Elementary Junior High School,7112 7 St SW,Calgary,AB,Elementary / Junior High,N,CSSD Data,8708,N,Y,Y,N,2019/03/03,T2V1E9,1382905,-114.080777130435,50.991113689145,"(50.991113689145, -114.080777130435)"
Janus Academy (Holy Cross Site),Janus Academy Society,Private School,Janus Academy (Holy Cross Site),8516 Athabasca Street SE,Calgary,AB,Elementary/Junior High/Senior High,N,Provincial Data,1323,N,Y,Y,Y,2019/03/03,T2H1S1,1375426,-114.056292872079,50.9774376971763,"(50.9774376971763, -114.056292872079)"
William Aberhart High,Calgary School District No. 19,Public School,William Aberhart High School,3009 Morley Trail NW,Calgary,AB,GR10-12,N,CBE Data,9829,N,N,N,Y,2019/03/03,T2M4G9,1382288,-114.115337479205,51.0786695096059,"(51.0786695096059, -114.115337479205)"
John Ware,Calgary School District No. 19,Public School,John Ware School,10020 19 Street SW,Calgary,AB,GR7-9,N,CBE Data,9603,N,N,Y,N,2019/03/03,T2V1R2,1382592,-114.105304804535,50.9636547674574,"(50.9636547674574, -114.105304804535)"
Blessed Marie-Rose,Calgary Roman Catholic Separate School District No. 1,Separate School,Blessed Marie-Rose,999 Sherwood Blvd NW,Calgary,AB,Elementary / Junior High,N,CSSD Data,2195,N,Y,Y,N,2019/03/03,T3R1M9,2445030,-114.148323737269,51.1598895438963,"(51.1598895438963, -114.148323737269)"
The Third Academy,Third Academy International Ltd.,Private School,The Third Academy,"3,510-77th Ave SE",Calgary,AB,Elementary,N,Provincial Data,31,N,Y,N,N,2019/03/03,T2H1C3,1524220,-114.051459480268,50.9851220757189,"(50.9851220757189, -114.051459480268)"
Christine Meikle,Calgary School District No. 19,Public School,Christine Meikle School,3525 50 Street NW,Calgary,AB,SPECIALTY,N,CBE Data,9037,N,N,N,N,2019/03/03,T3A2Y5,2365264,-114.161065711504,51.0845446949492,"(51.0845446949492, -114.161065711504)"
Renfrew Educational Services - Child Development Centre,Renfrew Educational Services Society,Private School,Renfrew Educational Services - Child Development Centre,2050 - 21 Street N.E.,Calgary,AB,Unknown,N,Provincial Data,280,N,N,N,N,2019/03/03,T3B2X9,1380513,-114.143929083517,51.0747652331191,"(51.0747652331191, -114.143929083517)"
Catherine Nichols Gunn,Calgary School District No. 19,Public School,Catherine Nichols Gunn School,6625 4 Street NE,Calgary,AB,GRK-6,N,CBE Data,9232,Y,Y,N,N,2019/03/03,T2K5C7,1378455,-114.057895039207,51.1116437154434,"(51.1116437154434, -114.057895039207)"
Our Lady of Peace,Calgary Roman Catholic Separate School District No. 1,Separate School,Our Lady of Peace Elementary Junior High School,14826 Millrise Hill SW,Calgary,AB,Elementary / Junior High,N,CSSD Data,8732,N,Y,Y,N,2019/03/03,T2Y2B4,1382578,-114.087705715074,50.918467777154,"(50.918467777154, -114.087705715074)"
Chinook Winds Adventist Academy,Alberta Conference of 7th Day Adventist Church,Private School,Chinook Winds Adventist Academy,10101 - 2nd Avenue S.W.,Calgary,AB,Elementary/Junior High/Senior High,N,Provincial Data,9916,N,Y,Y,Y,2019/03/03,T3B5T2,1376232,-114.233266189099,51.079234206464,"(51.079234206464, -114.233266189099)"
Douglas Harkness,Calgary School District No. 19,Public School,Douglas Harkness School,6203 24 Avenue NE,Calgary,AB,GRPRE-K-6,N,CBE Data,9347,Y,Y,N,N,2019/03/03,T1Y2C5,1383010,-113.94604456169,51.0738434802924,"(51.0738434802924, -113.94604456169)"
Belvedere Parkway,Calgary School District No. 19,Public School,Belvedere Parkway School,4631 85 Street NW,Calgary,AB,GRK-6,N,CBE Data,9110,Y,Y,N,N,2019/03/03,T3B2R8,1384089,-114.21155915983,51.0927168241052,"(51.0927168241052, -114.21155915983)"
St. Patrick,Calgary Roman Catholic Separate School District No. 1,Separate School,St. Patrick School,6006 Rundlehorn Dr NE,Calgary,AB,Elementary,N,CSSD Data,8507,N,Y,N,N,2019/03/03,T1Y2X1,1383007,-113.946702768693,51.0719899543668,"(51.0719899543668, -113.946702768693)"
Monsignor A.J. Hetherington,Calgary Roman Catholic Separate School District No. 1,Separate School,Monsignor A. J. Hetherington Elementary School,4 Coral Springs Blvd NE,Calgary,AB,Elementary,N,CSSD Data,8557,N,Y,N,N,2019/03/03,T3J3J3,1383223,-113.934047611089,51.0995523031157,"(51.0995523031157, -113.934047611089)"
Apostles of Jesus,Calgary Roman Catholic Separate School District No. 1,Separate School,Apostles of Jesus,15 Skyview Ranch Street NE,Calgary,AB,Elementary / Junior High,N,CSSD Data,2155,N,Y,Y,N,2019/03/03,T3N1H6,2382713,-113.956513068523,51.1584173114354,"(51.1584173114354, -113.956513068523)"
West Springs,Calgary School District No. 19,Public School,West Springs School,8999 Wentworth Avenue SW,Calgary,AB,GRK-4,N,CBE Data,1521,Y,Y,N,N,2019/03/03,T3H0P7,1377130,-114.216749847645,51.0584377785281,"(51.0584377785281, -114.216749847645)"
Huntington Hills,Calgary School District No. 19,Public School,Huntington Hills School,820 64 Avenue NW,Calgary,AB,GRK-6,N,CBE Data,9219,Y,Y,N,N,2019/03/03,T2K0M5,1383510,-114.077456859477,51.1122089821832,"(51.1122089821832, -114.077456859477)"
Maple Ridge,Calgary School District No. 19,Public School,Maple Ridge School,10203 Maplemont Road SE,Calgary,AB,GRK-4,N,CBE Data,9321,Y,Y,N,N,2019/03/03,T2J1W3,1382591,-114.041958799033,50.9618905218363,"(50.9618905218363, -114.041958799033)"
St. Rose of Lima,Calgary Roman Catholic Separate School District No. 1,Separate School,St. Rose of Lima Junior High School,2419 50 St NE,Calgary,AB,Elementary / Junior High,N,CSSD Data,8722,N,Y,Y,N,2019/03/03,T1Y1Z5,1383019,-113.962278881211,51.0758005718372,"(51.0758005718372, -113.962278881211)"
Lake Bonavista,Calgary School District No. 19,Public School,Lake Bonavista School,1015 120 Avenue SE,Calgary,AB,GRK-6,N,CBE Data,9334,Y,Y,N,N,2019/03/03,T2J2L1,1382266,-114.040923821551,50.9445409784263,"(50.9445409784263, -114.040923821551)"
St. Sylvester,Calgary Roman Catholic Separate School District No. 1,Separate School,St. Sylvester School,7318 Silver Springs Blvd NW,Calgary,AB,Elementary,N,CSSD Data,8537,N,Y,N,N,2019/03/03,T3B4N1,1383144,-114.194271396104,51.1092617478501,"(51.1092617478501, -114.194271396104)"
St. Francis High,Calgary Roman Catholic Separate School District No. 1,Separate School,St. Francis High School,877 Northmount Dr NW,Calgary,AB,Senior High,N,CSSD Data,8902,N,N,N,Y,2019/03/03,,1382293,-114.102407547848,51.0845065831207,"(51.0845065831207, -114.102407547848)"
Richmond,Calgary School District No. 19,Public School,Richmond School,2701 22 Street SW,Calgary,AB,GRK-6,N,CBE Data,9100,Y,Y,N,N,2019/03/03,T2T5G5,1000945,-114.115038640706,51.0301327098832,"(51.0301327098832, -114.115038640706)"
Somerset,Calgary School District No. 19,Public School,Somerset School,150 Somerset Manor SW,Calgary,AB,GRK-5,N,CBE Data,1099,Y,Y,N,N,2019/03/03,T2Y4S2,1382186,-114.084885124491,50.8974058284541,"(50.8974058284541, -114.084885124491)"
Alberta Chung Wah,Alberta Chung Wah School Society,Private School,Alberta Chung Wah School,"#270, 328 Centre Street S.E.",Calgary,AB,Senior High,N,Provincial Data,1020,N,N,N,Y,2019/03/03,T2G4X6,1005440,-114.061738312975,51.0495649619006,"(51.0495649619006, -114.061738312975)"
Mother Mary Greene,Calgary Roman Catholic Separate School District No. 1,Separate School,Mother Mary Greene School,115 Edenwold Dr NW,Calgary,AB,Elementary,N,CSSD Data,8553,N,Y,N,N,2019/03/03,T3A3S8,1369124,-114.139238562065,51.1243068012465,"(51.1243068012465, -114.139238562065)"
Cecil Swanson,Calgary School District No. 19,Public School,Cecil Swanson School,4820 Rundlewood Drive NE,Calgary,AB,GRK-6,N,CBE Data,9373,Y,Y,N,N,2019/03/03,T1Y5V9,1523791,-113.967543129312,51.0741821887835,"(51.0741821887835, -113.967543129312)"
Glenmeadows,Calgary School District No. 19,Public School,Glenmeadows School,4931 Grove Hill Road SW,Calgary,AB,GRK-6,N,CBE Data,9123,Y,Y,N,N,2019/03/03,T3E4G4,1379112,-114.158929057538,51.0348617985998,"(51.0348617985998, -114.158929057538)"
Calgary Waldorf,Calgary Waldorf School Society,Private School,Calgary Waldorf School,515 Cougar Ridge Drive S.W.,Calgary,AB,Elementary/Junior High,N,Provincial Data,9949,N,Y,Y,N,2019/03/03,T3H5G9,1383008,-114.218326240149,51.0723493859737,"(51.0723493859737, -114.218326240149)"
Janet Johnstone,Calgary School District No. 19,Public School,Janet Johnstone School,224 Shawnessy Drive SW,Calgary,AB,GRK-4,N,CBE Data,9270,Y,Y,N,N,2019/03/03,T2Y1M1,1382576,-114.080086009229,50.9093693139945,"(50.9093693139945, -114.080086009229)"
Lord Shaughnessy High,Calgary School District No. 19,Public School,CLS Lord Shaughnessy Writing Centre,2336 53 Avenue SW,Calgary,AB,GR10-12,N,CBE Data,2247,N,N,N,Y,2019/03/03,T3E1L2,1382201,-114.113927719107,51.0065169116875,"(51.0065169116875, -114.113927719107)"
