NAME,BOARD,TYPE,NAME_AB,ADDRESS_AB,CITY,PROVINCE,GRADES,POSTSECOND,DATA_SOURCE,PROVINCIAL_CODE_NUM,ECS,ELEM,JUNIOR_H,SENIOR_H,PROCESS_DT,POSTAL_COD,STRUCTURE_ID,longitude,latitude,location
Midnapore,Calgary School District No. 19,Public School,Midnapore School,55 Midpark Rise SE,Calgary,AB,GRK-6,N,CBE Data,9363,Y,Y,N,N,2019/03/03,T2X1L7,1382577,-114.055174702314,50.9150402074022,"(50.9150402074022, -114.055174702314)"
Scenic Acres,Calgary School District No. 19,Public School,Scenic Acres School,50 Scurfield Way NW,Calgary,AB,GRK-4,N,CBE Data,597,Y,Y,N,N,2019/03/03,T3L1T2,1384107,-114.215656566624,51.1200890863443,"(51.1200890863443, -114.215656566624)"
Light of Christ,Calgary Roman Catholic Separate School District No. 1,Separate School,Light of Christ Catholic School,6270 Saddlehorn Dr NE,Calgary,AB,Elementary / Junior High,N,CSSD Data,1486,N,Y,Y,N,2019/03/03,T3J0L8,1383296,-113.94127347852,51.1295372345183,"(51.1295372345183, -113.94127347852)"
Rundle,Calgary School District No. 19,Public School,Rundle School,4120 Rundlehorn Drive NE,Calgary,AB,GRK-6,N,CBE Data,9358,Y,Y,N,N,2019/03/03,T1Y4W9,1381142,-113.973721740547,51.0711823153387,"(51.0711823153387, -113.973721740547)"
St. Albert the Great,Calgary Roman Catholic Separate School District No. 1,Separate School,St. Albert the Great,225 Prestwick Ave SE,Calgary,AB,Elementary / Junior High,N,CSSD Data,1336,N,Y,Y,N,2019/03/03,T2Z3X3,1382579,-113.960075849988,50.921509651829,"(50.921509651829, -113.960075849988)"
James Fowler High,Calgary School District No. 19,Public School,James Fowler High School,4004 4 Street NW,Calgary,AB,GR10-12,N,CBE Data,9825,N,N,N,Y,2019/03/03,T2K1A1,1383037,-114.070516303064,51.086532146809,"(51.086532146809, -114.070516303064)"
Deer Run,Calgary School District No. 19,Public School,Deer Run School,2127 146 Avenue SE,Calgary,AB,GRK-6,N,CBE Data,9265,Y,Y,N,N,2019/03/03,T2J6P8,1369586,-114.009454543388,50.9215554277433,"(50.9215554277433, -114.009454543388)"
Annie Foote,Calgary School District No. 19,Public School,Annie Foote School,6320 Temple Drive NE,Calgary,AB,GRK-6,N,CBE Data,9377,Y,Y,N,N,2019/03/03,T1Y5V5,1383036,-113.940330271319,51.085988623729,"(51.085988623729, -113.940330271319)"
St. Mary's High,Calgary Roman Catholic Separate School District No. 1,Separate School,St. Mary's High School,111 18 Ave SW,Calgary,AB,Senior High,N,CSSD Data,8904,N,N,N,Y,2019/03/03,,1382530,-114.064017571661,51.0366143229253,"(51.0366143229253, -114.064017571661)"
Tyndale Christian,The Canadian Reformed School Society of Calgary,Private School,Tyndale Christian School,28 Hart Estates Blvd. NE,Calgary,AB,Elementary/Junior High/Senior High,N,Provincial Data,9984,N,Y,Y,Y,2019/03/03,T1X0L3,1370057,-113.8677456947,51.058633929554,"(51.058633929554, -113.8677456947)"
Northeast Elementary Campus,Foundations for the Future Charter Academy Charter School Society,Charter,Northeast Elementary Campus,1140 Mayland Drive NE,Calgary,AB,Elementary,N,Provincial Data,1349,N,Y,N,N,2019/03/03,T2E6C8,1380950,-114.011276764304,51.0641873412351,"(51.0641873412351, -114.011276764304)"
Georges P. Vanier,Calgary School District No. 19,Public School,Georges P. Vanier School,509 32 Avenue NE,Calgary,AB,GR7-9,N,CBE Data,9635,N,N,Y,N,2019/03/03,T2E2H3,1382291,-114.052069123477,51.0806053130658,"(51.0806053130658, -114.052069123477)"
Cappy Smart,Calgary School District No. 19,Public School,Cappy Smart School,5808 Madigan Drive NE,Calgary,AB,GRK-5,N,CBE Data,9353,Y,Y,N,N,2019/03/03,T2A4P5,1382334,-113.945067748103,51.0636930806335,"(51.0636930806335, -113.945067748103)"
Ron Southern,Calgary School District No. 19,Public School,Ron Southern School,483 Silverado Boulevard SW,Calgary,AB,GRK-6,N,CBE Data,2146,Y,Y,N,N,2019/03/03,T2X2E2,2393067,-114.085688232958,50.8809318203295,"(50.8809318203295, -114.085688232958)"
Horizon Heritage Arabic,Horizon Academy Institute,Private School,Horizon Heritage Arabic School,Unit P55 1610 - 37 St. SW PO Box 34028 Westbrook,Calgary,AB,Unknown,N,Provincial Data,1913,N,N,N,N,2019/03/03,T3C3P1,1376393,-114.139814428391,51.0396737069362,"(51.0396737069362, -114.139814428391)"
William Roper Hull,Calgary School District No. 19,Public School,William Roper Hull School,2266 Woodpark Avenue SW,Calgary,AB,SPECIALTY,N,CBE Data,9033,N,N,N,N,2019/03/03,T2W2Z8,1382587,-114.113832452867,50.9483626457444,"(50.9483626457444, -114.113832452867)"
St. Dominic,Calgary Roman Catholic Separate School District No. 1,Separate School,St. Dominic School,4820 Dalhart Rd NW,Calgary,AB,Elementary,N,CSSD Data,8531,N,Y,N,N,2019/03/03,T3A1C2,1383508,-114.154244056349,51.1095587514848,"(51.1095587514848, -114.154244056349)"
Guardian Angel,Calgary Roman Catholic Separate School District No. 1,Separate School,Guardian Angel School,20 Aspen Hills Drive SW,Calgary,AB,Elementary,N,CSSD Data,2156,N,Y,N,N,2019/03/03,T3H0G5,2392869,-114.216465383521,51.040628728342,"(51.040628728342, -114.216465383521)"
Bishop Carroll High,Calgary Roman Catholic Separate School District No. 1,Separate School,Bishop Carroll High School,4624 Richard Rd SW,Calgary,AB,Senior High,N,CSSD Data,8905,N,N,N,Y,2019/03/03,T3E6L1,1382203,-114.120786292015,51.0126951857398,"(51.0126951857398, -114.120786292015)"
Abbeydale,Calgary School District No. 19,Public School,Abbeydale School,320 Abergale Drive NE,Calgary,AB,GRK-5,N,CBE Data,9376,Y,Y,N,N,2019/03/03,T2A6W2,1382217,-113.929848567186,51.0566251951646,"(51.0566251951646, -113.929848567186)"
Mount Royal University - Lincoln Park Campus,,Post Secondary,,,Calgary,AB,,Y,Post Secondary Data,,N,N,N,N,2019/03/03,T3E6K6,1537443,-114.132720343453,51.0128049608186,"(51.0128049608186, -114.132720343453)"
Calgary Christian,Palliser Regional Division No. 26,Public School,Calgary Christian School,2839 - 49 Street S.W.,Calgary,AB,Elementary,N,Provincial Data,9903,N,Y,N,N,2019/03/03,T3E3X9,1382507,-114.158950635536,51.0274677454858,"(51.0274677454858, -114.158950635536)"
New Brighton,Calgary School District No. 19,Public School,New Brighton School,30 New Brighton Drive SE,Calgary,AB,GRK-4,N,CBE Data,2072,Y,Y,N,N,2019/03/03,T2Z4B2,2390336,-113.953707839925,50.9194771743183,"(50.9194771743183, -113.953707839925)"
New Heights School and Learning Services,New Heights School and Learning Services Society,Private School,New Heights School and Learning Services,4041 Breskins Drive SW,Calgary,AB,Elementary/Junior High/Senior High,N,Provincial Data,432,N,Y,Y,Y,2019/03/03,T3E7M1,1378965,-114.122170213833,51.018474443176,"(51.018474443176, -114.122170213833)"
Monsignor J.S. Smith,Calgary Roman Catholic Separate School District No. 1,Separate School,Monsignor J. S. Smith School,2919 Douglasdale Blvd SE,Calgary,AB,Elementary / Junior High,N,CSSD Data,313,N,Y,Y,N,2019/03/03,T2Z2H9,1382570,-113.989863858949,50.941211680497,"(50.941211680497, -113.989863858949)"
West Ridge,Calgary School District No. 19,Public School,West Ridge School,8903 Wentworth Avenue SW,Calgary,AB,GR5-9,N,CBE Data,2087,N,Y,Y,N,2019/03/03,T3H5N9,2384637,-114.214242361605,51.0584892242268,"(51.0584892242268, -114.214242361605)"
Sunnyside,Calgary School District No. 19,Public School,Sunnyside School,211 7 Street NW,Calgary,AB,GRK-6,N,CBE Data,9234,Y,Y,N,N,2019/03/03,T2N1S2,1381198,-114.079544055453,51.0565623756895,"(51.0565623756895, -114.079544055453)"
Dr. J.K. Mulloy,Calgary School District No. 19,Public School,Dr. J. K. Mulloy School,7440 10 Street NW,Calgary,AB,GRK-4,N,CBE Data,9242,Y,Y,N,N,2019/03/03,T2K1H6,1384106,-114.079968988911,51.1192250672658,"(51.1192250672658, -114.079968988911)"
St. Bede,Calgary Roman Catholic Separate School District No. 1,Separate School,St. Bede Elementary School,333 Bermuda Dr NW,Calgary,AB,Elementary,N,CSSD Data,8545,N,Y,N,N,2019/03/03,T3K2J5,1370600,-114.082846020853,51.1316737402892,"(51.1316737402892, -114.082846020853)"
Woodlands,Calgary School District No. 19,Public School,Woodlands School,88 Woodgreen Drive SW,Calgary,AB,GRK-6,N,CBE Data,9371,Y,Y,N,N,2019/03/03,T2W4W9,1382584,-114.1069696177,50.9389351925832,"(50.9389351925832, -114.1069696177)"
MAC Islamic School - Calgary Chapter,Muslim Association of Canada,Private School,MAC Islamic School - Calgary Chapter,6415 Ranchview Drive N.W.,Calgary,AB,Elementary,N,Provincial Data,2178,N,Y,N,N,2019/03/03,T3G1B5,1378667,-114.179939355571,51.1148235593017,"(51.1148235593017, -114.179939355571)"
Louise Dean (Kensington),Calgary School District No. 19,Public School,Louise Dean School,120 23 Street NW,Calgary,AB,GR10-12,N,CBE Data,9626,N,N,N,Y,2019/03/03,T2N2P1,1382214,-114.114682472565,51.0531507142995,"(51.0531507142995, -114.114682472565)"
Father Scollen,Calgary Roman Catholic Separate School District No. 1,Separate School,Father Scollen School,6839 Temple Dr NE,Calgary,AB,Elementary / Junior High,N,CSSD Data,8730,N,Y,Y,N,2019/03/03,T1Y5N4,1384090,-113.941961581758,51.0930202653202,"(51.0930202653202, -113.941961581758)"
Yufeng Chinese,Yufeng Chinese School Centre,Private School,Yufeng Chinese School,169 Citadel Ridge Close NW,Calgary,AB,Elementary,N,Provincial Data,1048,N,Y,N,N,2019/03/03,T3G4V5,1094950,-114.183469236192,51.1460943461828,"(51.1460943461828, -114.183469236192)"
Highwood,Calgary School District No. 19,Public School,Highwood School,11 Holmwood Avenue NW,Calgary,AB,GRK-4,N,CBE Data,9217,Y,Y,N,N,2019/03/03,T2K2G5,1383129,-114.076532836291,51.0922435665459,"(51.0922435665459, -114.076532836291)"
Western Canada High,Calgary School District No. 19,Public School,Western Canada High School,641 17 Avenue SW,Calgary,AB,GR10-12,N,CBE Data,9816,N,N,N,Y,2019/03/03,T2S0B5,1382531,-114.077547569158,51.03699475356,"(51.03699475356, -114.077547569158)"
University of Calgary,,Post Secondary,,,Calgary,AB,,Y,Post Secondary Data,,N,N,N,N,2019/03/03,,1383018,-114.13012547931,51.0754066743341,"(51.0754066743341, -114.13012547931)"
"Calgary Islamic School, Akram Jomaa Campus",Palliser Regional Division No. 26,Public School,"Calgary Islamic School, Akram Jomaa Campus",2612 - 37 Avenue N.E.,Calgary,AB,Elementary/Junior High/Senior High,N,Provincial Data,9969,N,Y,Y,Y,2019/03/03,T1Y5L2,1005821,-114.000477365889,51.0875898704508,"(51.0875898704508, -114.000477365889)"
St. Cyril,Calgary Roman Catholic Separate School District No. 1,Separate School,St. Cyril School,2990 Cedarbrae Dr SW,Calgary,AB,Elementary / Junior High,N,CSSD Data,8723,N,Y,Y,N,2019/03/03,T2W2N9,1382812,-114.128551180482,50.9554892860441,"(50.9554892860441, -114.128551180482)"
Alexander Ferguson,Calgary School District No. 19,Public School,Alex Ferguson School,1704 26 Street SW,Calgary,AB,GRK-6,N,CBE Data,9101,Y,Y,N,N,2019/03/03,T3C1K5,1382818,-114.122983600813,51.0393637674236,"(51.0393637674236, -114.122983600813)"
Horizon Leadership Academy,Palliser Regional Division No. 26,Public School,Horizon Leadership Academy,Building B4 Battleford Ave. SW,Calgary,AB,Elementary/Junior High,N,Provincial Data,2164,N,Y,Y,N,2019/03/03,,1378961,-114.119046696887,51.0176443810718,"(51.0176443810718, -114.119046696887)"
St. Jerome,Calgary Roman Catholic Separate School District No. 1,Separate School,St. Jerome Elementary School,11616 Panorama Hills Blvd NW,Calgary,AB,Elementary,N,CSSD Data,1340,N,Y,N,N,2019/03/03,T3K5S3,1413750,-114.07928272234,51.1577111565043,"(51.1577111565043, -114.07928272234)"
Prince Of Wales,Calgary School District No. 19,Public School,Prince of Wales School,253 Parkland Way SE,Calgary,AB,GRK-6,N,CBE Data,9341,Y,Y,N,N,2019/03/03,T2J3Y9,1382259,-114.033308007977,50.9247641766859,"(50.9247641766859, -114.033308007977)"
Calgary Chinese Alliance,Calgary Chinese Alliance School Society,Private School,Calgary Chinese Alliance School,150 Beddington Blvd. NE,Calgary,AB,Senior High,N,Provincial Data,5001,N,N,N,Y,2019/03/03,T3K2E2,1400877,-114.067625491307,51.1257326378669,"(51.1257326378669, -114.067625491307)"
Notre Dame High,Calgary Roman Catholic Separate School District No. 1,Separate School,Notre Dame High School,11900 Country Village Link NE,Calgary,AB,Senior High,N,CSSD Data,1275,N,N,N,Y,2019/03/03,T3K6E4,1383527,-114.065834039729,51.1576594092804,"(51.1576594092804, -114.065834039729)"
St. Henry,Calgary Roman Catholic Separate School District No. 1,Separate School,St. Henry Elementary School,7423 10 St NW,Calgary,AB,Elementary,N,CSSD Data,8534,N,Y,N,N,2019/03/03,T2K1H5,1384103,-114.080177781279,51.1175975215355,"(51.1175975215355, -114.080177781279)"
St. Mark,Calgary Roman Catholic Separate School District No. 1,Separate School,St. Mark Elementary School,4589 Marbank Dr NE,Calgary,AB,Elementary,N,CSSD Data,8536,N,Y,N,N,2019/03/03,T2A3V8,1381390,-113.969348975802,51.0630457539896,"(51.0630457539896, -113.969348975802)"
The School of Alberta Ballet,The Alberta Ballet Company,Private School,The School of Alberta Ballet,"West Annex, 2nd Floor 906-12 Avenue S.W.",Calgary,AB,Junior High/Senior High,N,Provincial Data,1598,N,N,Y,Y,2019/03/03,T2R1K7,1414534,-114.082057984612,51.0422510032592,"(51.0422510032592, -114.082057984612)"
St. Gerard,Calgary Roman Catholic Separate School District No. 1,Separate School,St. Gerard Bilingual School,1204 96 Ave SW,Calgary,AB,Elementary,N,CSSD Data,8517,N,Y,N,N,2019/03/03,T2V0Y1,1382275,-114.088479110625,50.9688700315733,"(50.9688700315733, -114.088479110625)"
Harold Panabaker,Calgary School District No. 19,Public School,Harold Panabaker School,23 Sackville Drive SW,Calgary,AB,GR5-9,N,CBE Data,9643,N,Y,Y,N,2019/03/03,T2W0W3,1593042,-114.086648191958,50.9576395918952,"(50.9576395918952, -114.086648191958)"
Ethel M. Johnson,Calgary School District No. 19,Public School,Ethel M. Johnson School,255 Sackville Drive SW,Calgary,AB,GRK-6,N,CBE Data,9310,Y,Y,N,N,2019/03/03,T2W0W7,1382813,-114.089038911225,50.9554733852036,"(50.9554733852036, -114.089038911225)"
St. Catherine,Calgary Roman Catholic Separate School District No. 1,Separate School,St. Catherine Elementary School,11 Canata Close SW,Calgary,AB,Elementary,N,CSSD Data,8533,N,Y,N,N,2019/03/03,T2W1P6,1382572,-114.08648256962,50.9438817380879,"(50.9438817380879, -114.08648256962)"
"Calgary Islamic School, Omar Bin Al-Khattab Campus",Palliser Regional Division No. 26,Public School,"Calgary Islamic School, Omar Bin Al-Khattab Campus",Omar Bin Al-Khattab Campus 225 28 Street SE,Calgary,AB,Elementary/Junior High,N,Provincial Data,1722,N,Y,Y,N,2019/03/03,T2A5K4,1376120,-113.993809769953,51.0507450351951,"(51.0507450351951, -113.993809769953)"
Battalion Park,Calgary School District No. 19,Public School,Battalion Park School,369 Sienna Park Drive SW,Calgary,AB,GRK-6,N,CBE Data,537,Y,Y,N,N,2019/03/03,T3H4S2,1382205,-114.181901039074,51.0235669067637,"(51.0235669067637, -114.181901039074)"
Captain John Palliser,Calgary School District No. 19,Public School,Captain John Palliser School,1484 Northmount Drive NW,Calgary,AB,GRK-6,N,CBE Data,9210,Y,Y,N,N,2019/03/03,T2L0G6,1000998,-114.136016108201,51.0963648543441,"(51.0963648543441, -114.136016108201)"
Woodbine,Calgary School District No. 19,Public School,Woodbine School,27 Woodfield Way SW,Calgary,AB,GRPRE-K-6,N,CBE Data,9266,Y,Y,N,N,2019/03/03,T2W5E1,1370184,-114.128942645002,50.9365328874585,"(50.9365328874585, -114.128942645002)"
Heritage Christian Academy,Palliser Regional Division No. 26,Public School,Heritage Christian Academy,2003 McKnight Boulevard N.E.,Calgary,AB,Elementary/Junior High/Senior High,N,Provincial Data,9906,N,Y,Y,Y,2019/03/03,T2E6L2,1384058,-114.010136401938,51.0921352242676,"(51.0921352242676, -114.010136401938)"
Ascension of Our Lord,Calgary Roman Catholic Separate School District No. 1,Separate School,Ascension of Our Lord,509 Harvest Hills Dr NE,Calgary,AB,Elementary / Junior High,N,CSSD Data,333,N,Y,Y,N,2019/03/03,T3K4G9,1383730,-114.059690457421,51.1469579614294,"(51.1469579614294, -114.059690457421)"
Marshall Springs,Calgary School District No. 19,Public School,Marshall Springs School,1100 Everridge Drive SW,Calgary,AB,GR4-9,N,CBE Data,2069,N,Y,Y,N,2019/03/03,T2Y4X5,2370193,-114.11230037386,50.9114448380447,"(50.9114448380447, -114.11230037386)"
Rundle College Academy,Rundle College Society,Private School,Rundle College Academy,4330 - 16 Street S.W.,Calgary,AB,Elementary/Junior High/Senior High,N,Provincial Data,5297,N,Y,Y,Y,2019/03/03,T2T4H9,1382282,-114.099772542232,51.0152966174285,"(51.0152966174285, -114.099772542232)"
Lord Beaverbrook High,Calgary School District No. 19,Public School,Lord Beaverbrook High School,9019 Fairmount Drive SE,Calgary,AB,GR10-12,N,CBE Data,9850,N,N,N,Y,2019/03/03,T2H0Z4,1413860,-114.061639559011,50.9730998198691,"(50.9730998198691, -114.061639559011)"
Rideau Park,Calgary School District No. 19,Public School,Rideau Park School,829 Rideau Road SW,Calgary,AB,GRK-9,N,CBE Data,9610,Y,Y,Y,N,2019/03/03,T2S0S2,1382504,-114.075563741508,51.0252766218485,"(51.0252766218485, -114.075563741508)"
Beddington Heights,Calgary School District No. 19,Public School,Beddington Heights School,95 Bermuda Road NW,Calgary,AB,GRK-6,N,CBE Data,9372,Y,Y,N,N,2019/03/03,T3K2J6,1383517,-114.079392914706,51.1317456312123,"(51.1317456312123, -114.079392914706)"
Guy Weadick,Calgary School District No. 19,Public School,Guy Weadick School,5612 Templehill Road NE,Calgary,AB,GRK-6,N,CBE Data,9343,Y,Y,N,N,2019/03/03,T1Y4W7,1383120,-113.95297486813,51.0869883378757,"(51.0869883378757, -113.95297486813)"
John W. Costello Catholic,Calgary Roman Catholic Separate School District No. 1,Separate School,John Costello Catholic School,300 Strathcona Dr SW,Calgary,AB,Elementary,N,CSSD Data,8558,N,Y,N,N,2019/03/03,T3H1N9,1382929,-114.180707479034,51.048832562457,"(51.048832562457, -114.180707479034)"
St. Hubert,Calgary Roman Catholic Separate School District No. 1,Separate School,St. Hubert Elementary School,320 72 Ave NE,Calgary,AB,Elementary,N,CSSD Data,8502,N,Y,N,N,2019/03/03,T2K5J3,1384104,-114.062213277402,51.118375903135,"(51.118375903135, -114.062213277402)"
Branton,Calgary School District No. 19,Public School,Branton School,2103 20 Street NW,Calgary,AB,GR7-9,N,CBE Data,9621,N,N,Y,N,2019/03/03,T2M3W1,1381141,-114.109030474996,51.0712469127282,"(51.0712469127282, -114.109030474996)"
Senator Patrick Burns,Calgary School District No. 19,Public School,Senator Patrick Burns School,2155 Chilcotin Road NW,Calgary,AB,GR6-9,N,CBE Data,9640,N,Y,Y,N,2019/03/03,T2L0X2,1383123,-114.115536700167,51.0882110963101,"(51.0882110963101, -114.115536700167)"
Rosemont,Calgary School District No. 19,Public School,Rosemont School,19 Rosevale Drive NW,Calgary,AB,GRK-6,N,CBE Data,9231,Y,Y,N,N,2019/03/03,T2K1N6,1000924,-114.092373301647,51.0778712146491,"(51.0778712146491, -114.092373301647)"
Lycee Louis Pasteur,Lycee Louis Pasteur Society,Private School,Lycee Louis Pasteur,4099 Garrison Blvd. S.W.,Calgary,AB,Elementary/Junior High/Senior High,N,Provincial Data,9919,N,Y,Y,Y,2019/03/03,T2T6G2,1001606,-114.114483127728,51.0176427705333,"(51.0176427705333, -114.114483127728)"
Lord Beaverbrook High,Calgary School District No. 19,Public School,CLS Lord Beaverbrook Writing Centre,9019 Fairmount Drive SE,Calgary,AB,GR10-12,N,CBE Data,2245,N,N,N,Y,2019/03/03,T2H0Z4,1413860,-114.061639559011,50.9730998198691,"(50.9730998198691, -114.061639559011)"
St. Jude,Calgary Roman Catholic Separate School District No. 1,Separate School,St. Jude School,730 Woodbine Blvd SW,Calgary,AB,Elementary,N,CSSD Data,8546,N,Y,N,N,2019/03/03,T2W4W4,1382571,-114.133437431785,50.9429522377689,"(50.9429522377689, -114.133437431785)"
Douglasdale,Calgary School District No. 19,Public School,Douglasdale School,400 Douglas Park Boulevard SE,Calgary,AB,GRK-6,N,CBE Data,596,Y,Y,N,N,2019/03/03,T2Z4A3,1382583,-113.982648780496,50.9352629935937,"(50.9352629935937, -113.982648780496)"
Elboya,Calgary School District No. 19,Public School,Elboya School,4804 6 Street SW,Calgary,AB,GRK-9,N,CBE Data,9627,Y,Y,Y,N,2019/03/03,T2S2N3,1376697,-114.078213703181,51.0108833841301,"(51.0108833841301, -114.078213703181)"
St. Rita,Calgary Roman Catholic Separate School District No. 1,Separate School,St. Rita School,7811 Ranchview Dr NW,Calgary,AB,Elementary,N,CSSD Data,8547,N,Y,N,N,2019/03/03,T3G2B3,1383514,-114.181753057774,51.1198661655931,"(51.1198661655931, -114.181753057774)"
Mountain Park,Calgary School District No. 19,Public School,Mountain Park School,312 Mount Douglas Close SE,Calgary,AB,GR5-9,N,CBE Data,1333,N,Y,Y,N,2019/03/03,T2Z4Y1,1382580,-113.981879878875,50.923798322386,"(50.923798322386, -113.981879878875)"
St. Wilfrid,Calgary Roman Catholic Separate School District No. 1,Separate School,St. Wilfrid Elementary School,4225 44 Ave NE,Calgary,AB,Elementary,N,CSSD Data,8541,N,Y,N,N,2019/03/03,T1Y4Y1,1383127,-113.968994264309,51.0919265388399,"(51.0919265388399, -113.968994264309)"
Henry Wise Wood High,Calgary School District No. 19,Public School,Henry Wise Wood High School,910 75 Avenue SW,Calgary,AB,GR10-12,N,CBE Data,9836,N,N,N,Y,2019/03/03,T2V0S6,1382192,-114.08468438422,50.9863406298737,"(50.9863406298737, -114.08468438422)"
North Middle School Campus,Foundations for the Future Charter Academy Charter School Society,Charter,North Middle School Campus,211 McKnight Blvd. NE,Calgary,AB,Elementary/Junior High,N,Provincial Data,1426,N,Y,Y,N,2019/03/03,T2E5S7,1384092,-114.060600959369,51.0954530507553,"(51.0954530507553, -114.060600959369)"
Father Lacombe High,Calgary Roman Catholic Separate School District No. 1,Separate School,Father Lacombe School,3615 Radcliffe Dr SE,Calgary,AB,Senior High,N,CSSD Data,8903,N,N,N,Y,2019/03/03,T2A6B4,1559297,-113.983246409989,51.0473973156667,"(51.0473973156667, -113.983246409989)"
Bowness High,Calgary School District No. 19,Public School,Bowness High School,4627 77 Street NW,Calgary,AB,GR10-12,N,CBE Data,9847,N,N,N,Y,2019/03/03,T3B2N6,1382936,-114.200251003503,51.0931752598702,"(51.0931752598702, -114.200251003503)"
Italian School of Calgary,Centro Linguistico E Culturale Italiano Calgary,Private School,Italian School of Calgary,416-1 Avenue N.E.,Calgary,AB,Junior High/Senior High,N,Provincial Data,9926,N,N,Y,Y,2019/03/03,T2E0B4,1397336,-114.05314715223,51.0537463029556,"(51.0537463029556, -114.05314715223)"
Rosedale,Calgary School District No. 19,Public School,Rosedale School,905 13 Avenue NW,Calgary,AB,GRK-9,N,CBE Data,9618,Y,Y,Y,N,2019/03/03,T2M0G3,1382331,-114.081529656834,51.0635972770479,"(51.0635972770479, -114.081529656834)"
Glenmore Christian Academy Junior High,GCA Educational Society,Private School,Glenmore Christian Academy Junior High,16520-24 Street SW,Calgary,AB,Elementary/Junior High,N,Provincial Data,1956,N,Y,Y,N,2019/03/03,T2Y4W2,1590356,-114.115253708078,50.9039795061973,"(50.9039795061973, -114.115253708078)"
Valley Creek,Calgary School District No. 19,Public School,Valley Creek School,10951 Hidden Valley Drive NW,Calgary,AB,GR4-9,N,CBE Data,1098,N,Y,Y,N,2019/03/03,T3A6J2,1524240,-114.116672870496,51.1502338338754,"(51.1502338338754, -114.116672870496)"
Bishop Kidd,Calgary Roman Catholic Separate School District No. 1,Separate School,Bishop Kidd School,1420 28 St SE,Calgary,AB,Junior High,N,CSSD Data,8702,N,N,Y,N,2019/03/03,T2A0Y8,1382822,-113.992128314767,51.0405771960858,"(51.0405771960858, -113.992128314767)"
David Thompson,Calgary School District No. 19,Public School,David Thompson School,9320 Arbour Crescent SE,Calgary,AB,GR5-9,N,CBE Data,9641,N,Y,Y,N,2019/03/03,T2J1K4,1382277,-114.054651364999,50.9694035885181,"(50.9694035885181, -114.054651364999)"
Earl Grey,Calgary School District No. 19,Public School,Earl Grey School,845 Hillcrest Avenue SW,Calgary,AB,GRK-6,N,CBE Data,9118,Y,Y,N,N,2019/03/03,T2T0Z1,1382517,-114.082653795007,51.0308744947089,"(51.0308744947089, -114.082653795007)"
Chaparral,Calgary School District No. 19,Public School,Chaparral School,480 Chaparral Drive SE,Calgary,AB,GRK-6,N,CBE Data,1331,Y,Y,N,N,2019/03/03,T2X3S2,1382954,-114.044968214913,50.8829640057355,"(50.8829640057355, -114.044968214913)"
Sir Wilfrid Laurier,Calgary School District No. 19,Public School,Sir Wilfrid Laurier School,819 32 Street SE,Calgary,AB,GR6-9,N,CBE Data,9648,N,Y,Y,N,2019/03/03,T2A0Y9,1382134,-113.989306087292,51.0457347724512,"(51.0457347724512, -113.989306087292)"
Renfrew Educational Services-Bowness Centre,Renfrew Educational Services Society,Private School,Renfrew Educational Services-Bowness Centre,2050 - 21 Street N.E.,Calgary,AB,Unknown,N,Provincial Data,437,N,N,N,N,2019/03/03,T3B2B2,1403804,-114.211924435196,51.0963292849549,"(51.0963292849549, -114.211924435196)"
Maria Montessori,"Maria Montessori Education Centre of Calgary, Ltd.",Private School,Maria Montessori School,Chief Crowfoot School 2634 12 Ave NW,Calgary,AB,Elementary/Junior High,N,Provincial Data,1410,N,Y,Y,N,2019/03/03,T2N1K6,1382328,-114.123582617921,51.0627098007845,"(51.0627098007845, -114.123582617921)"
St. Clare,Calgary Roman Catholic Separate School District No. 1,Separate School,St. Clare,12455 Coventry Hills Way NE,Calgary,AB,Elementary,N,CSSD Data,1118,N,Y,N,N,2019/03/03,T3K5Z4,1383528,-114.045395620928,51.1647425257623,"(51.1647425257623, -114.045395620928)"
Phoenix Education Foundation,Phoenix Education Foundation,Private School,Phoenix Education Foundation,320 19 Street S.E.,Calgary,AB,Elementary/Junior High/Senior High,N,Provincial Data,1264,N,Y,Y,Y,2019/03/03,T2E6J6,1005179,-114.007825699564,51.0502641577022,"(51.0502641577022, -114.007825699564)"
G.W. Skene,Calgary School District No. 19,Public School,G.W. Skene School,6226 Penbrooke Drive SE,Calgary,AB,GR3-5,N,CBE Data,9351,N,N,N,N,2019/03/03,T2A6M7,1382840,-113.945220788829,51.045624869971,"(51.045624869971, -113.945220788829)"
Louis Riel,Calgary School District No. 19,Public School,Louis Riel School,9632 Oakfield Drive SW,Calgary,AB,GRK-9,N,CBE Data,9625,Y,Y,Y,N,2019/03/03,T2V0L1,1382892,-114.132257919422,50.9667311264277,"(50.9667311264277, -114.132257919422)"
Joane Cardinal-Schubert High,Calgary School District No. 19,Public School,Joane Cardinal-Schubert High School,19480 - 45 Street SE,Calgary,AB,GR10-11,N,CBE Data,2180,N,N,N,Y,2019/03/03,T3M2P9,2529035,-113.944010425891,50.878022205483,"(50.878022205483, -113.944010425891)"
Monsignor Neville Anderson,Calgary Roman Catholic Separate School District No. 1,Separate School,Monsignor Neville Anderson School,327 Sandarac Dr NW,Calgary,AB,Elementary,N,CSSD Data,8554,N,Y,N,N,2019/03/03,T3K4B2,1369106,-114.104119221273,51.1391561598152,"(51.1391561598152, -114.104119221273)"
